файл,строка,функция,достижимо из приложения,вызов,вид места,что выводится,"формат (T-3, D-15)",единица рядом (W-4),дробное число — перевод на запятую по А-2,примечание
app/thermogar_diffusion.py,1277,_common_inputs,да,st.number_input,поле ввода,"Температура выдержки, °C",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/thermogar_diffusion.py,1286,_common_inputs,да,st.number_input,поле ввода,"Длина области, мкм",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/thermogar_diffusion.py,1294,_common_inputs,да,st.number_input,поле ввода,"Граница пары, %",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/thermogar_diffusion.py,1303,_common_inputs,да,st.number_input,поле ввода,"Время, ч",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/thermogar_diffusion.py,1311,_common_inputs,да,st.number_input,поле ввода,Ячеек,целое (формат не нужен),счётная,нет,подпись и значение поля; дробная точка в поле ввода Streamlit
app/thermogar_diffusion.py,1571,render_kinetics_section,да,st.number_input,поле ввода,Сглаживающий коэффициент ε,format='%.3f',безразмерная,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/thermogar_diffusion.py,1581,render_kinetics_section,да,st.number_input,поле ввода,Лабиринтный фактор,нет (Streamlit по умолчанию %0.2f),безразмерная,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/thermogar_diffusion.py,1666,render_kinetics_section,да,st.metric,метрика,Kawin = _package_version('kawin'),не число (текст),—,нет,
app/thermogar_diffusion.py,1668,render_kinetics_section,да,st.metric,метрика,Диффундирующих элементов = len(diffusing_species),целое,счётное,нет,
app/thermogar_diffusion.py,1670,render_kinetics_section,да,st.metric,метрика,Фаз с параметрами подвижности = len(kinetic_phases),целое,счётное,нет,
app/thermogar_diffusion.py,1678,render_kinetics_section,да,st.dataframe,таблица,kinetics_table,нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/thermogar_precipitation.py,1367,render_precipitation_section,да,st.caption,текст экрана,{KWN_MAX_SOLUTES},целое,счётное,нет,
app/thermogar_precipitation.py,1367,render_precipitation_section,да,st.caption,текст экрана,{KWN_MAX_SOLUTES},целое,счётное,нет,
app/thermogar_precipitation.py,1436,render_precipitation_section,да,st.number_input,поле ввода,"Температура, °C",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/thermogar_precipitation.py,1442,render_precipitation_section,да,st.number_input,поле ввода,"Время выдержки, ч",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/thermogar_precipitation.py,1459,render_precipitation_section,да,st.number_input,поле ввода,"Межфазная энергия, Дж/м²",format='%.6g',да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/thermogar_precipitation.py,1467,render_precipitation_section,да,st.number_input,поле ввода,"Молярный объём матрицы, см³/моль",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/thermogar_precipitation.py,1474,render_precipitation_section,да,st.number_input,поле ввода,"Молярный объём выделения, см³/моль",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/thermogar_precipitation.py,1487,render_precipitation_section,да,st.number_input,поле ввода,"Плотность объёмных центров, 1/м³",format='%.6e',да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/thermogar_precipitation.py,1494,render_precipitation_section,да,st.number_input,поле ввода,"Средний размер зерна, мкм",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/thermogar_precipitation.py,1501,render_precipitation_section,да,st.number_input,поле ввода,"Плотность дислокаций, 1/м²",format='%.6e',да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/thermogar_precipitation.py,1508,render_precipitation_section,да,st.number_input,поле ввода,"Энергия границы зерна, Дж/м²",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/thermogar_precipitation.py,1517,render_precipitation_section,да,st.number_input,поле ввода,"Минимальный радиус, нм",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/thermogar_precipitation.py,1524,render_precipitation_section,да,st.number_input,поле ввода,"Начальный максимальный радиус, нм",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/thermogar_precipitation.py,1531,render_precipitation_section,да,st.slider,поле ввода,Классов размеров,нет (Streamlit по умолчанию %0.2f),счётная,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/thermogar_precipitation.py,1627,render_precipitation_section,да,st.dataframe,таблица,result.summary,нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/thermogar_precipitation.py,1630,render_precipitation_section,да,st.dataframe,таблица,result.quality,нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/thermogar_precipitation.py,1634,render_precipitation_section,да,st.dataframe,таблица,result.kinetics,нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/thermogar_precipitation.py,1636,render_precipitation_section,да,st.dataframe,таблица,result.matrix_composition,нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/thermogar_precipitation.py,1637,render_precipitation_section,да,st.dataframe,таблица,result.interface_composition,нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/thermogar_precipitation.py,1640,render_precipitation_section,да,st.dataframe,таблица,result.psd,нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/thermogar_properties.py,1490,render_elastic_section,нет (код не вызывается из приложения),st.number_input,поле ввода,"Температура расчёта, °C",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/thermogar_properties.py,1592,render_elastic_section,нет (код не вызывается из приложения),st.data_editor,таблица,prepared['editor'],column_config с format,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/thermogar_properties.py,1707,render_elastic_section,нет (код не вызывается из приложения),st.metric,метрика,"E_Hill, ГПа = f""{float(hill['E, ГПа']):.3f}""",есть: .3f,да (в подписи),да,
app/thermogar_properties.py,1709,render_elastic_section,нет (код не вызывается из приложения),st.metric,метрика,"ν_Hill = f""{float(hill['ν']):.4f}""",есть: .4f,безразмерная,да,
app/thermogar_properties.py,1711,render_elastic_section,нет (код не вызывается из приложения),st.metric,метрика,"K_Hill, ГПа = f""{float(hill['K, ГПа']):.3f}""",есть: .3f,да (в подписи),да,
app/thermogar_properties.py,1713,render_elastic_section,нет (код не вызывается из приложения),st.metric,метрика,"G_Hill, ГПа = f""{float(hill['G, ГПа']):.3f}""",есть: .3f,да (в подписи),да,
app/thermogar_properties.py,1715,render_elastic_section,нет (код не вызывается из приложения),st.caption,текст экрана,{result.volume_coverage_pct:.2f},есть: .2f,да,да,
app/thermogar_properties.py,1715,render_elastic_section,нет (код не вызывается из приложения),st.caption,текст экрана,{result.source_coverage_pct:.2f},есть: .2f,да,да,
app/thermogar_properties.py,1715,render_elastic_section,нет (код не вызывается из приложения),st.caption,текст экрана,{result.density_quality},нет (проверить тип),нет,возможно,
app/thermogar_properties.py,1731,render_elastic_section,нет (код не вызывается из приложения),st.dataframe,таблица,result.bounds_table,нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/thermogar_properties.py,1732,render_elastic_section,нет (код не вызывается из приложения),st.dataframe,таблица,result.phase_table,нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/thermogar_properties.py,1870,render_strengthening_section,нет (код не вызывается из приложения),st.number_input,поле ввода,"Базовое внутреннее сопротивление σ_int, МПа",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/thermogar_properties.py,1882,render_strengthening_section,нет (код не вызывается из приложения),st.number_input,поле ввода,"k_y, МПа·м^1/2",format='%.6f',да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/thermogar_properties.py,1888,render_strengthening_section,нет (код не вызывается из приложения),st.number_input,поле ввода,"Средний размер зерна d, мкм",format='%.6f',да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/thermogar_properties.py,1901,render_strengthening_section,нет (код не вызывается из приложения),st.number_input,поле ввода,Taylor factor M,format='%.6f',безразмерная,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/thermogar_properties.py,1907,render_strengthening_section,нет (код не вызывается из приложения),st.number_input,поле ввода,Коэффициент взаимодействия α,format='%.6f',безразмерная,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/thermogar_properties.py,1913,render_strengthening_section,нет (код не вызывается из приложения),st.number_input,поле ввода,"Модуль сдвига G, ГПа",format='%.6f',да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/thermogar_properties.py,1919,render_strengthening_section,нет (код не вызывается из приложения),st.number_input,поле ввода,"Вектор Бюргерса b, нм",format='%.6f',да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/thermogar_properties.py,1925,render_strengthening_section,нет (код не вызывается из приложения),st.number_input,поле ввода,"Плотность дислокаций ρ_d, м⁻²",format='%.6g',да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/thermogar_properties.py,1938,render_strengthening_section,нет (код не вызывается из приложения),st.number_input,поле ввода,"Δσ_ss, МПа",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/thermogar_properties.py,1958,render_strengthening_section,нет (код не вызывается из приложения),st.number_input,поле ввода,Taylor factor M для Orowan,format='%.6f',безразмерная,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/thermogar_properties.py,1964,render_strengthening_section,нет (код не вызывается из приложения),st.number_input,поле ввода,"Модуль сдвига матрицы G, ГПа",format='%.6f',да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/thermogar_properties.py,1970,render_strengthening_section,нет (код не вызывается из приложения),st.number_input,поле ввода,"Вектор Бюргерса b, нм",format='%.6f',да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/thermogar_properties.py,1976,render_strengthening_section,нет (код не вызывается из приложения),st.number_input,поле ввода,Коэффициент Пуассона ν,format='%.6f',безразмерная,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/thermogar_properties.py,1983,render_strengthening_section,нет (код не вызывается из приложения),st.number_input,поле ввода,"Средний радиус частиц r, нм",format='%.6f',да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/thermogar_properties.py,1989,render_strengthening_section,нет (код не вызывается из приложения),st.number_input,поле ввода,"Межчастичное расстояние λ, нм",format='%.6f',да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/thermogar_properties.py,2005,render_strengthening_section,нет (код не вызывается из приложения),st.number_input,поле ввода,"Дополнительный вклад, МПа",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/thermogar_properties.py,2141,render_strengthening_section,нет (код не вызывается из приложения),st.metric,метрика,"Механизм-ориентированная оценка, МПа = f'{result.total_mpa:.2f}'",есть: .2f,да (в подписи),да,
app/thermogar_properties.py,2154,render_strengthening_section,нет (код не вызывается из приложения),st.dataframe,таблица,result.contribution_table,нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/thermogar_stage14.py,850,render_validation_report,да,st.error,текст экрана,{failed},целое,счётное,нет,
app/thermogar_stage14.py,858,render_validation_report,да,st.dataframe,таблица,dataframe,нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/thermogar_stage14.py,1200,render_diagnostics,да,st.dataframe,таблица,env,нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/thermogar_stage14.py,1228,render_diagnostics,да,st.dataframe,таблица,file_table,нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/thermogar_stage14.py,1263,render_diagnostics,да,st.dataframe,таблица,database_table,нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/thermogar_stage14.py,1274,render_diagnostics,да,st.dataframe,таблица,smoke,нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/thermogar_workspace.py,1108,render_alloy_library,да,st.dataframe,таблица,current,нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/thermogar_workspace.py,1164,render_alloy_library,да,st.dataframe,таблица,"alloy_table(all_alloys, database_definitions)",нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/thermogar_workspace.py,1722,render_projects_and_history,да,st.dataframe,таблица,table,нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/thermogar_workspace.py,1926,render_projects_and_history,да,st.dataframe,таблица,filtered,нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/thermogar_workspace.py,2557,render_batch_calculation,да,st.dataframe,таблица,source.head(25),нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/thermogar_workspace.py,2558,render_batch_calculation,да,st.caption,текст экрана,{len(source)},целое,счётное,нет,
app/thermogar_workspace.py,2596,render_batch_calculation,да,st.warning,текст экрана,{completed},целое,счётное,нет,
app/thermogar_workspace.py,2596,render_batch_calculation,да,st.warning,текст экрана,{failed},целое,счётное,нет,
app/thermogar_workspace.py,2598,render_batch_calculation,да,st.success,текст экрана,{completed},целое,счётное,нет,
app/thermogar_workspace.py,2600,render_batch_calculation,да,st.dataframe,таблица,summary,нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/thermogar_workspace.py,2603,render_batch_calculation,да,st.dataframe,таблица,summary[summary['Статус'] != 'готово'],нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
