тег;серия;ячейка;зерно;классов;cmin, нм;cmax, нм;bulk_n0, 1/м³;состав;выдержка, с;настройка kawin;статус;остановка;момент остановки, с;конец, с;строк;доля в конце, %;максимум доли, %;радиус в конце, нм;частиц в конце, 1/м³;невязка C до остановки, max |·|;C в выделениях / C сплава на остановке;стена, с;пик памяти, ГиБ;текст
a2_kawin_rcrit1e-3_s1;22-А2 шаг 2в;приложения;1;40;0,2;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;maxRcritChange=0.001;посчитан;нет;;3,6;15221;4,40961;4,4098;10,0898;8,7275e+21;0;;359,7;0,354;
a2_kawin_rcrit1e-3_s2;22-А2 шаг 2в;приложения;2;40;0,2;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;maxRcritChange=0.001;посчитан;да;3,27735779;3,27735779;19071;7,23926;7,23926;0,763204;7,7524e+24;0;1,6356;450,5;0,359;Расчёт остановлен на 3.277 с модельного времени (0.0009104 ч): доля C в матрице стала 0 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
a2_kawin_vol1e-4_s0;22-А2 шаг 2в;приложения;0;40;0,2;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;maxVolumeChange=0.0001;посчитан;нет;;3,6;1408;4,40367;4,40373;4,51211;1,0585e+23;0;;42,6;0,346;
a2_kawin_vol1e-4_s1;22-А2 шаг 2в;приложения;1;40;0,2;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;maxVolumeChange=0.0001;посчитан;нет;;3,6;1451;4,40363;4,40373;4,51158;1,0585e+23;0;;42,7;0,345;
a2_kawin_vol1e-4_s2;22-А2 шаг 2в;приложения;2;40;0,2;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;maxVolumeChange=0.0001;посчитан;нет;;3,6;1419;4,40372;4,40373;4,5119;1,0585e+23;1,73e-18;;42,0;0,347;
a2_zerno_s3;22-А2 шаг 2г;приложения;3;40;0,2;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;умолчания kawin 0.5.0;посчитан;да;2,430696152;2,430696152;2582;6,11145;6,11145;0,818007;1,8534e+24;0;1,3808;68,9;0,347;Расчёт остановлен на 2.431 с модельного времени (0.0006752 ч): доля C в матрице стала 0 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
a2_zerno_s4;22-А2 шаг 2г;приложения;4;40;0,2;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;умолчания kawin 0.5.0;посчитан;да;0,7646822149;0,7646822149;545;6,26302;6,26302;0,822594;1,9389e+24;0;1,4150;20,5;0,346;Расчёт остановлен на 0.7647 с модельного времени (0.0002124 ч): доля C в матрице стала 0 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
a2_zerno_s5;22-А2 шаг 2г;приложения;5;40;0,2;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;умолчания kawin 0.5.0;посчитан;да;0,7646821954;0,7646821954;545;6,26302;6,26302;0,822594;1,9389e+24;0;1,4150;21,2;0,346;Расчёт остановлен на 0.7647 с модельного времени (0.0002124 ч): доля C в матрице стала 0 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
a2_zerno_s6;22-А2 шаг 2г;приложения;6;40;0,2;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;умолчания kawin 0.5.0;посчитан;да;0,7646822045;0,7646822045;545;6,26302;6,26302;0,822594;1,9389e+24;1,73e-18;1,4150;20,9;0,347;Расчёт остановлен на 0.7647 с модельного времени (0.0002124 ч): доля C в матрице стала 0 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
a2_zerno_s7;22-А2 шаг 2г;приложения;7;40;0,2;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;умолчания kawin 0.5.0;посчитан;да;0,7646822045;0,7646822045;545;6,26302;6,26302;0,822594;1,9389e+24;1,73e-18;1,4150;20,9;0,348;Расчёт остановлен на 0.7647 с модельного времени (0.0002124 ч): доля C в матрице стала 0 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
a2_zerno_s8;22-А2 шаг 2г;приложения;8;40;0,2;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;умолчания kawin 0.5.0;посчитан;да;3,109472523;3,109472523;2942;6,37156;6,37156;0,813666;2,0964e+24;0;1,4395;79,8;0,347;Расчёт остановлен на 3.109 с модельного времени (0.0008637 ч): доля C в матрице стала 0 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
a2_zerno_s9;22-А2 шаг 2г;приложения;9;40;0,2;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;умолчания kawin 0.5.0;посчитан;да;0,7646821735;0,7646821735;545;6,26302;6,26302;0,822594;1,9389e+24;0;1,4150;20,6;0,344;Расчёт остановлен на 0.7647 с модельного времени (0.0002124 ч): доля C в матрице стала 0 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
shag1_app;22-А шаг 1;приложения;случайное (22-А);40;0,2;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;умолчания kawin 0.5.0;посчитан;да;0,7646821061;0,7646821061;545;6,26302;6,26302;0,822594;1,9389e+24;0;1,4150;19,9;0,346;Расчёт остановлен на 0.7647 с модельного времени (0.0002124 ч): доля C в матрице стала 0 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
shag1_app_seed0_a;22-А шаг 1;приложения;0;40;0,2;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;умолчания kawin 0.5.0;посчитан;да;1,980708307;1,980708307;2133;6,1085;6,1085;0,825848;1,7577e+24;1,73e-18;1,3801;55,4;0,344;Расчёт остановлен на 1.981 с модельного времени (0.0005502 ч): доля C в матрице стала 0 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
shag1_app_seed0_b;22-А шаг 1;приложения;0;40;0,2;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;умолчания kawin 0.5.0;посчитан;да;1,980708307;1,980708307;2133;6,1085;6,1085;0,825848;1,7577e+24;1,73e-18;1,3801;55,1;0,347;Расчёт остановлен на 1.981 с модельного времени (0.0005502 ч): доля C в матрице стала 0 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
shag1_app_seed0_trace;22-А шаг 1;приложения;0;40;0,2;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;умолчания kawin 0.5.0;посчитан;да;1,980708307;1,980708307;2133;6,1085;6,1085;0,825848;1,7577e+24;1,73e-18;1,3801;55,6;0,359;Расчёт остановлен на 1.981 с модельного времени (0.0005502 ч): доля C в матрице стала 0 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
shag1_app_seed1;22-А шаг 1;приложения;1;40;0,2;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;умолчания kawin 0.5.0;посчитан;да;2,430696152;2,430696152;2582;6,11145;6,11145;0,818007;1,8534e+24;0;1,3808;65,4;0,344;Расчёт остановлен на 2.431 с модельного времени (0.0006752 ч): доля C в матрице стала 0 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
shag1_app_seed2;22-А шаг 1;приложения;2;40;0,2;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;умолчания kawin 0.5.0;посчитан;да;3,109472523;3,109472523;2942;6,37156;6,37156;0,813666;2,0964e+24;0;1,4395;73,5;0,346;Расчёт остановлен на 3.109 с модельного времени (0.0008637 ч): доля C в матрице стала 0 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
shag1_backend;22-А шаг 1;расчётного теста;случайное (22-А);30;0,5;10;1e+30;C=0.2, CR=11.5 (мас.%);1;умолчания kawin 0.5.0;посчитан;нет;;1;2188;4,39699;4,39699;3,40419;2,1255e+23;0;;50,8;0,319;
shag1_backend_seed0_a;22-А шаг 1;расчётного теста;0;30;0,5;10;1e+30;C=0.2, CR=11.5 (мас.%);1;умолчания kawin 0.5.0;посчитан;нет;;1;2496;4,39649;4,39663;3,37322;2,1830e+23;0;;55,2;0,320;
shag1_backend_seed0_b;22-А шаг 1;расчётного теста;0;30;0,5;10;1e+30;C=0.2, CR=11.5 (мас.%);1;умолчания kawin 0.5.0;посчитан;нет;;1;2496;4,39649;4,39663;3,37322;2,1830e+23;0;;54,5;0,321;
shag1_backend_seed1;22-А шаг 1;расчётного теста;1;30;0,5;10;1e+30;C=0.2, CR=11.5 (мас.%);1;умолчания kawin 0.5.0;посчитан;нет;;1;2082;4,39694;4,39694;3,40444;2,1265e+23;0;;46,9;0,320;
shag2_app_trace;22-А шаг 1;приложения;случайное (22-А);40;0,2;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;умолчания kawin 0.5.0;посчитан;да;3,109472523;3,109472523;2942;6,37156;6,37156;0,813666;2,0964e+24;0;1,4395;73,5;0,365;Расчёт остановлен на 3.109 с модельного времени (0.0008637 ч): доля C в матрице стала 0 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
a2_extra_cap2_s0;—;приложения;0;40;0,2;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;шаг ≤ 2×предыдущего (сверх kawin);посчитан;нет;;3,6;1470;4,40954;4,40954;9,5185;9,9785e+21;0;;43,8;0,347;
a2_extra_cap2_s1;—;приложения;1;40;0,2;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;шаг ≤ 2×предыдущего (сверх kawin);посчитан;нет;;3,6;1447;4,40946;4,40951;9,517;9,9801e+21;0;;42,5;0,348;
a2_extra_cap2_s2;—;приложения;2;40;0,2;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;шаг ≤ 2×предыдущего (сверх kawin);посчитан;нет;;3,6;1528;4,40953;4,40953;9,51752;9,9796e+21;0;;44,2;0,348;
