экран;вкладка;подвкладка / вид;вид элемента;подпись;key;сейчас в блоке;в одной строке (st.columns);обязательное;решение 9Б;блок;ранг (1 — сворачивать первым);причина по коду;файл:строка
S13;Свойства;Плотность по T;поле (число);Шаг температуры, °C;physical_t_step_{база};;st.columns@ThermoGar_app.py:1883;нет;открыто;;;шаг в одной строке с «от/до»: свёртка одного шага высоты не даёт;app/ThermoGar_app.py:1889
S13;Свойства;Плотность по T;галочка;Выбрать фазы вручную;physical_scan_manual;;;нет;свернуть;Управление фазами / метастабильный расчёт;2;ручной выбор фаз;app/ThermoGar_app.py:1552
S13;Свойства;Плотность по T;мультивыбор;Фазы;physical_scan_tokens;;;нет;свернуть;Управление фазами / метастабильный расчёт;2;то же;app/ThermoGar_app.py:1563
S14;Свойства;"Упругие свойства / шаг 1 — фазовые доли; шаг 2 — Voigt–Reuss–Hill";галочка;Применять поправки проекта ThermoGar к физической базе;physical_overrides_enabled_env_locked;;;нет;открыто;;;то же;app/ThermoGar_app.py:1467
S14;Свойства;"Упругие свойства / шаг 1 — фазовые доли; шаг 2 — Voigt–Reuss–Hill";галочка;Применять поправки проекта ThermoGar к физической базе;physical_overrides_enabled;;;нет;открыто;;;то же;app/ThermoGar_app.py:1479
S14;Свойства;"Упругие свойства / шаг 1 — фазовые доли; шаг 2 — Voigt–Reuss–Hill";поле (число);Температура, °C;b4b2_elastic_temperature_{база};;;нет;открыто;;;вопрос расчёта: температура;app/ThermoGar_app.py:2191
S14;Свойства;"Упругие свойства / шаг 1 — фазовые доли; шаг 2 — Voigt–Reuss–Hill";галочка;Выбрать фазы вручную;b4b2_elastic_prepare_manual;;;нет;свернуть;Управление фазами / метастабильный расчёт;2;ручной выбор фаз;app/ThermoGar_app.py:1552
S14;Свойства;"Упругие свойства / шаг 1 — фазовые доли; шаг 2 — Voigt–Reuss–Hill";мультивыбор;Фазы;b4b2_elastic_prepare_tokens;;;нет;свернуть;Управление фазами / метастабильный расчёт;2;то же;app/ThermoGar_app.py:1563
S14;Свойства;"Упругие свойства / шаг 1 — фазовые доли; шаг 2 — Voigt–Reuss–Hill";таблица-редактор;editor;f'b4b2_elastic_editor_{prepared_digest}';;;да (шаг 2): E, ν, происхождение, источник, T отсчёта каждой фазы — thermogar_verified_properties.py:953–955;открыто;;;шаг 2: обязательная таблица E, ν и источника;app/ThermoGar_app.py:2274
S14;Свойства;"Упругие свойства / шаг 1 — фазовые доли; шаг 2 — Voigt–Reuss–Hill";галочка;Обновить локальную библиотеку введёнными значениями;f'b4b2_elastic_update_{prepared_digest}';;;нет;открыто;;;"шаг 2, одна галочка под таблицей; блок ради неё не заводить";app/ThermoGar_app.py:2290
S15;Свойства;Вклады упрочнения;галочка;Применять поправки проекта ThermoGar к физической базе;physical_overrides_enabled_env_locked;;;нет;открыто;;;то же;app/ThermoGar_app.py:1467
S15;Свойства;Вклады упрочнения;галочка;Применять поправки проекта ThermoGar к физической базе;physical_overrides_enabled;;;нет;открыто;;;то же;app/ThermoGar_app.py:1479
S15;Свойства;Вклады упрочнения;поле (текст, многострочное);Источник и область применимости входов;b4b2_strengthening_provenance_{база};;;да — thermogar_verified_properties.py:1074–1081 (USER_INPUT_REQUIRED);открыто;;;обязательное;app/ThermoGar_app.py:2402
S15;Свойства;Вклады упрочнения;галочка;Подтверждаю область применимости введённых коэффициентов;b4b2_strengthening_confirmation_{база};;;да — thermogar_verified_properties.py:1085–1086 (USER_INPUT_REQUIRED);открыто;;;обязательное;app/ThermoGar_app.py:2406
S15;Свойства;Вклады упрочнения;поле (число);Базовое внутреннее сопротивление, МПа;b4b2_strengthening_sigma_{база};;;нет;открыто;;;"вклад в итог; без него сумма не задана";app/ThermoGar_app.py:2410
S15;Свойства;Вклады упрочнения;выбор;Правило объединения;b4b2_strengthening_rule_{база};;;нет;открыто;;;метод объединения — вопрос расчёта;app/ThermoGar_app.py:2416
S15;Свойства;Вклады упрочнения;галочка;Учитывать Hall–Petch;b4b2_hall_use_{база};Hall–Petch;;нет;открыто;;;"выбор механизма — вопрос расчёта; сейчас внутри «Hall–Petch», предлагается вынести галочку наружу";app/ThermoGar_app.py:2426
S15;Свойства;Вклады упрочнения;поле (число);k_y, МПа·м¹ᐟ²;b4b2_hall_k_{база};Hall–Petch;;нет;свернуть;Параметры модели;2;параметр модели с умолчанием без источника;app/ThermoGar_app.py:2427
S15;Свойства;Вклады упрочнения;поле (число);Размер зерна, мкм;b4b2_hall_grain_{база};Hall–Petch;;нет;свернуть;Параметры модели;2;параметр микроструктуры с умолчанием;app/ThermoGar_app.py:2428
S15;Свойства;Вклады упрочнения;галочка;Использовать G и ν из текущего результата Hill;b4b2_strengthening_hill_{база};;;нет;открыто;;;источник G и ν — выбор, который меняет смысл параметров;app/ThermoGar_app.py:2435
S15;Свойства;Вклады упрочнения;галочка;Учитывать Taylor;b4b2_taylor_use_{база};Taylor;;нет;открыто;;;"выбор механизма; вынести из «Taylor»";app/ThermoGar_app.py:2442
S15;Свойства;Вклады упрочнения;поле (число);M (Taylor);b4b2_taylor_m_{база};Taylor;;нет;свернуть;Параметры модели;1;параметр модели с умолчанием без источника;app/ThermoGar_app.py:2443
S15;Свойства;Вклады упрочнения;поле (число);α;b4b2_taylor_alpha_{база};Taylor;;нет;свернуть;Параметры модели;1;то же;app/ThermoGar_app.py:2444
S15;Свойства;Вклады упрочнения;поле (число);G, ГПа (Taylor);b4b2_taylor_g_{база};Taylor;;нет;свернуть;Параметры модели;1;то же;app/ThermoGar_app.py:2445
S15;Свойства;Вклады упрочнения;поле (число);b, нм (Taylor);b4b2_taylor_b_{база};Taylor;;нет;свернуть;Параметры модели;1;то же;app/ThermoGar_app.py:2446
S15;Свойства;Вклады упрочнения;поле (число);Плотность дислокаций, м⁻²;b4b2_taylor_rho_{база};Taylor;;нет;свернуть;Параметры модели;2;параметр микроструктуры;app/ThermoGar_app.py:2447
S15;Свойства;Вклады упрочнения;галочка;Твёрдорастворный вклад;b4b2_solid_use_{база};;;нет;открыто;;;выбор механизма;app/ThermoGar_app.py:2448
S15;Свойства;Вклады упрочнения;поле (число);Твёрдорастворный вклад, МПа;b4b2_solid_{база};;;нет;открыто;;;значение вклада рядом со своей галочкой;app/ThermoGar_app.py:2449
S15;Свойства;Вклады упрочнения;галочка;Учитывать Orowan;b4b2_orowan_use_{база};Orowan;;нет;открыто;;;"выбор механизма; вынести из «Orowan»";app/ThermoGar_app.py:2451
S15;Свойства;Вклады упрочнения;поле (число);M (Orowan);b4b2_orowan_m_{база};Orowan;;нет;свернуть;Параметры модели;1;параметр модели;app/ThermoGar_app.py:2452
S15;Свойства;Вклады упрочнения;поле (число);G, ГПа (Orowan);b4b2_orowan_g_{база};Orowan;;нет;свернуть;Параметры модели;1;параметр модели;app/ThermoGar_app.py:2453
S15;Свойства;Вклады упрочнения;поле (число);b, нм (Orowan);b4b2_orowan_b_{база};Orowan;;нет;свернуть;Параметры модели;1;параметр модели;app/ThermoGar_app.py:2454
S15;Свойства;Вклады упрочнения;поле (число);ν (Orowan) (-0.999–0.499);b4b2_orowan_nu_{база};Orowan;;нет;свернуть;Параметры модели;1;параметр модели;app/ThermoGar_app.py:2455
S15;Свойства;Вклады упрочнения;поле (число);Радиус частиц, нм;b4b2_orowan_radius_{база};Orowan;;нет;свернуть;Параметры модели;2;параметр микроструктуры;app/ThermoGar_app.py:2456
S15;Свойства;Вклады упрочнения;поле (число);Расстояние между частицами, нм;b4b2_orowan_spacing_{база};Orowan;;нет;свернуть;Параметры модели;2;параметр микроструктуры;app/ThermoGar_app.py:2457
S15;Свойства;Вклады упрочнения;галочка;Другой вклад;b4b2_other_use_{база};;;нет;открыто;;;выбор вклада;app/ThermoGar_app.py:2458
S15;Свойства;Вклады упрочнения;поле (число);Другой вклад, МПа;b4b2_other_{база};;;нет;открыто;;;значение вклада рядом со своей галочкой;app/ThermoGar_app.py:2459
S16;Кинетика;Диффузия и гомогенизация / Однофазная пара;выбор;Элемент-основа;kin_single_balance_{база};;;нет;открыто;;;вопрос расчёта: материал пары;app/thermogar_diffusion.py:1348
S16;Кинетика;Диффузия и гомогенизация / Однофазная пара;радио;Единицы исходных составов;kin_single_units_{база};;;нет;открыто;;;единицы задают смысл составов;app/thermogar_diffusion.py:1355
S16;Кинетика;Диффузия и гомогенизация / Однофазная пара;поле (текст, многострочное);Левая сторона;kin_single_left_{база};;st.columns@thermogar_diffusion.py:1364 (колонка 1 из 2);да: стороны различаются хотя бы одной добавкой — thermogar_diffusion.py:421–424, :452–453;открыто;;;обязательное: состав стороны;app/thermogar_diffusion.py:1366
S16;Кинетика;Диффузия и гомогенизация / Однофазная пара;поле (текст, многострочное);Правая сторона;kin_single_right_{база};;st.columns@thermogar_diffusion.py:1364 (колонка 2 из 2);да: то же — thermogar_diffusion.py:421–424, :452–453;открыто;;;обязательное: состав стороны;app/thermogar_diffusion.py:1373
S16;Кинетика;Диффузия и гомогенизация / Однофазная пара;поле (число);Температура выдержки, °C;kin_single_temperature_{база};;;нет;открыто;;;вопрос расчёта: температура выдержки;app/thermogar_diffusion.py:1380
S16;Кинетика;Диффузия и гомогенизация / Однофазная пара;поле (число);Длина области, мкм;kin_single_length_{база};;st.columns@thermogar_diffusion.py:1387 (колонка 1 из 4);нет;свернуть;Точность и критерии;2;"геометрия области — численная настройка; строка из 4 полей: высоту даёт только свёртка всей строки вместе со «Временем»";app/thermogar_diffusion.py:1389
S16;Кинетика;Диффузия и гомогенизация / Однофазная пара;поле (число);Граница пары, % (1–99);kin_single_interface_{база};;st.columns@thermogar_diffusion.py:1387 (колонка 2 из 4);нет;свернуть;Точность и критерии;1;"положение границы пары; умолчание 50 %; та же строка";app/thermogar_diffusion.py:1397
S16;Кинетика;Диффузия и гомогенизация / Однофазная пара;поле (число);Время, ч;kin_single_time_{база};;st.columns@thermogar_diffusion.py:1387 (колонка 3 из 4);нет;открыто;;;"вопрос расчёта: время; та же строка — предлагается вынести из строки на отдельную";app/thermogar_diffusion.py:1406
S16;Кинетика;Диффузия и гомогенизация / Однофазная пара;поле (число);Ячеек (12–160);kin_single_nodes_{база};;st.columns@thermogar_diffusion.py:1387 (колонка 4 из 4);нет;свернуть;Точность и критерии;1;"число ячеек — сетка; та же строка";app/thermogar_diffusion.py:1414
S16;Кинетика;Диффузия и гомогенизация / Однофазная пара;поле (текст, многострочное);Источник и назначение исходных данных диффузии;kin_single_input_provenance_{база};;;нет: пустое заменяется строкой по умолчанию — thermogar_diffusion.py:1452–1454;свернуть;Параметры модели;1;"подсказка: строка идёт в Excel, историю и JSON; пустое заменяется умолчанием (thermogar_diffusion.py:1452–1454)";app/thermogar_diffusion.py:1423
S16;Кинетика;Диффузия и гомогенизация / Однофазная пара;выбор;Фаза для всего профиля;kin_single_phase_{база};;;нет;открыто;;;вопрос расчёта: фаза;app/thermogar_diffusion.py:1545
S17;Кинетика;Диффузия и гомогенизация / Многофазная гомогенизация;выбор;Элемент-основа;kin_hom_balance_{база};;;нет;открыто;;;вопрос расчёта: материал пары;app/thermogar_diffusion.py:1348
S17;Кинетика;Диффузия и гомогенизация / Многофазная гомогенизация;радио;Единицы исходных составов;kin_hom_units_{база};;;нет;открыто;;;единицы составов;app/thermogar_diffusion.py:1355
S17;Кинетика;Диффузия и гомогенизация / Многофазная гомогенизация;поле (текст, многострочное);Левая сторона;kin_hom_left_{база};;st.columns@thermogar_diffusion.py:1364 (колонка 1 из 2);да: то же — thermogar_diffusion.py:421–424, :452–453;открыто;;;обязательное;app/thermogar_diffusion.py:1366
S17;Кинетика;Диффузия и гомогенизация / Многофазная гомогенизация;поле (текст, многострочное);Правая сторона;kin_hom_right_{база};;st.columns@thermogar_diffusion.py:1364 (колонка 2 из 2);да: то же — thermogar_diffusion.py:421–424, :452–453;открыто;;;обязательное;app/thermogar_diffusion.py:1373
S17;Кинетика;Диффузия и гомогенизация / Многофазная гомогенизация;поле (число);Температура выдержки, °C;kin_hom_temperature_{база};;;нет;открыто;;;вопрос расчёта: температура;app/thermogar_diffusion.py:1380
S17;Кинетика;Диффузия и гомогенизация / Многофазная гомогенизация;поле (число);Длина области, мкм;kin_hom_length_{база};;st.columns@thermogar_diffusion.py:1387 (колонка 1 из 4);нет;свернуть;Точность и критерии;2;"геометрия; строка из 4 полей — см. S16";app/thermogar_diffusion.py:1389
S17;Кинетика;Диффузия и гомогенизация / Многофазная гомогенизация;поле (число);Граница пары, % (1–99);kin_hom_interface_{база};;st.columns@thermogar_diffusion.py:1387 (колонка 2 из 4);нет;свернуть;Точность и критерии;1;та же строка;app/thermogar_diffusion.py:1397
S17;Кинетика;Диффузия и гомогенизация / Многофазная гомогенизация;поле (число);Время, ч;kin_hom_time_{база};;st.columns@thermogar_diffusion.py:1387 (колонка 3 из 4);нет;открыто;;;"вопрос расчёта: время; вынести из строки";app/thermogar_diffusion.py:1406
S17;Кинетика;Диффузия и гомогенизация / Многофазная гомогенизация;поле (число);Ячеек (12–160);kin_hom_nodes_{база};;st.columns@thermogar_diffusion.py:1387 (колонка 4 из 4);нет;свернуть;Точность и критерии;1;сетка;app/thermogar_diffusion.py:1414
S17;Кинетика;Диффузия и гомогенизация / Многофазная гомогенизация;поле (текст, многострочное);Источник и назначение исходных данных диффузии;kin_hom_input_provenance_{база};;;нет: пустое заменяется строкой по умолчанию — thermogar_diffusion.py:1452–1454;свернуть;Параметры модели;1;то же, что в «Однофазной паре»: одно поле — один блок на обоих видах;app/thermogar_diffusion.py:1423
S17;Кинетика;Диффузия и гомогенизация / Многофазная гомогенизация;мультивыбор;Фазы локального равновесия;kin_hom_phases_{база};;;да, ≥2 фазы — thermogar_diffusion.py:1717–1718;открыто;;;"вопрос расчёта: фазы; обязательное ≥2";app/thermogar_diffusion.py:1665
S17;Кинетика;Диффузия и гомогенизация / Многофазная гомогенизация;выбор;Модель эффективной подвижности;kin_hom_function_{база};;;нет;свернуть;Параметры модели;2;"параметр модели с умолчанием; плашка под полем советует первый вариант";app/thermogar_diffusion.py:1676
S17;Кинетика;Диффузия и гомогенизация / Многофазная гомогенизация;поле (число);Сглаживающий коэффициент ε (0–0.2);kin_hom_eps_{база};;st.columns@thermogar_diffusion.py:1682 (колонка 1 из 2);нет;свернуть;Параметры модели;1;"сглаживающий коэффициент — численный параметр; строка из 2 полей: сворачивать обе";app/thermogar_diffusion.py:1684
S17;Кинетика;Диффузия и гомогенизация / Многофазная гомогенизация;поле (число);Лабиринтный фактор (1–2);kin_hom_lab_{база};;st.columns@thermogar_diffusion.py:1682 (колонка 2 из 2);нет;свернуть;Параметры модели;1;"та же строка; активно только для лабиринтной модели";app/thermogar_diffusion.py:1694
S19;Кинетика;Выделения;выбор;Набор исходных параметров;precipitation_{база}_preset;;;нет;открыто;;;выбор набора (материала) на экране;app/thermogar_precipitation.py:1368
S19;Кинетика;Выделения;выбор;Матричная фаза;precipitation_{база}_user_matrix;;;нет;открыто;;;вопрос расчёта: пара фаз;app/thermogar_precipitation.py:1440
S19;Кинетика;Выделения;выбор;Фаза-выделение;precipitation_{база}_user_precipitate;;;нет;открыто;;;вопрос расчёта: пара фаз;app/thermogar_precipitation.py:1469
S19;Кинетика;Выделения;радио;Температурный режим;precipitation_{база}_user_temperature_mode;;;нет;открыто;;;вопрос расчёта: режим;app/thermogar_precipitation.py:1476
S19;Кинетика;Выделения;поле (число);Температура, °C;precipitation_{база}_user_temperature_c;;;нет;открыто;;;вопрос расчёта;app/thermogar_precipitation.py:1487
S19;Кинетика;Выделения;поле (число);Время выдержки, ч;precipitation_{база}_user_duration_h;;;нет;открыто;;;вопрос расчёта;app/thermogar_precipitation.py:1493
S19;Кинетика;Выделения;поле (текст, многострочное);"Время, ч; температура, °C";precipitation_{база}_user_temperature_profile;;;нет;открыто;;;вопрос расчёта (режим цикла);app/thermogar_precipitation.py:1501
S19;Кинетика;Выделения;поле (число);Межфазная энергия, Дж/м²;precipitation_{база}_user_gamma;Параметры модели KWN;;нет;уже в блоке;Параметры модели KWN;3;"блок открыт по умолчанию (expanded=True): предложение — закрыть; γ база не задаёт (плашка раздела)";app/thermogar_precipitation.py:1510
S19;Кинетика;Выделения;поле (число);Молярный объём матрицы, см³/моль;precipitation_{база}_user_matrix_vm;Параметры модели KWN;;нет;уже в блоке;Параметры модели KWN;3;то же;app/thermogar_precipitation.py:1518
S19;Кинетика;Выделения;поле (число);Молярный объём выделения, см³/моль;precipitation_{база}_user_precip_vm;Параметры модели KWN;;нет;уже в блоке;Параметры модели KWN;3;то же;app/thermogar_precipitation.py:1525
S19;Кинетика;Выделения;выбор;Центры зарождения;precipitation_{база}_user_nucleation_type;Параметры модели KWN;;нет;уже в блоке;Параметры модели KWN;2;то же;app/thermogar_precipitation.py:1532
S19;Кинетика;Выделения;поле (число);Плотность объёмных центров, 1/м³;precipitation_{база}_user_bulk_n0;Параметры модели KWN;;нет;уже в блоке;Параметры модели KWN;2;то же;app/thermogar_precipitation.py:1538
S19;Кинетика;Выделения;поле (число);Средний размер зерна, мкм;precipitation_{база}_user_grain_size_um;Параметры модели KWN;;нет;уже в блоке;Параметры модели KWN;1;то же;app/thermogar_precipitation.py:1545
S19;Кинетика;Выделения;поле (число);Плотность дислокаций, 1/м²;precipitation_{база}_user_dislocation_density;Параметры модели KWN;;нет;уже в блоке;Параметры модели KWN;1;то же;app/thermogar_precipitation.py:1552
S19;Кинетика;Выделения;поле (число);Энергия границы зерна, Дж/м²;precipitation_{база}_user_gb_energy;Параметры модели KWN;;нет;уже в блоке;Параметры модели KWN;1;то же;app/thermogar_precipitation.py:1559
S19;Кинетика;Выделения;поле (число);Минимальный радиус, нм;precipitation_{база}_user_cmin_nm;Численная сетка размеров;;нет;уже в блоке;Численная сетка размеров;1;"сетка размеров — численная настройка; блок уже свёрнут";app/thermogar_precipitation.py:1568
S19;Кинетика;Выделения;поле (число);Начальный максимальный радиус, нм;precipitation_{база}_user_cmax_nm;Численная сетка размеров;;нет;уже в блоке;Численная сетка размеров;1;то же;app/thermogar_precipitation.py:1575
S19;Кинетика;Выделения;ползунок;Классов размеров;precipitation_{база}_user_bins;Численная сетка размеров;;нет;уже в блоке;Численная сетка размеров;1;то же;app/thermogar_precipitation.py:1582
S19;Кинетика;Выделения;поле (текст, многострочное);Источник и применимость физических входов;precipitation_{база}_user_input_provenance;;;нет: пустое заменяется строкой по умолчанию — thermogar_precipitation.py:1606;свернуть;Параметры модели KWN;2;"подсказка: источник γ, Vm и параметров зарождения — входов этого блока; пустое заменяется умолчанием (thermogar_precipitation.py:1606)";app/thermogar_precipitation.py:1595
S20;Проекты и данные;Марки и составы;поле (текст);Название марки или состава;;;;да — thermogar_workspace.py:936–937;открыто;;;обязательное;app/thermogar_workspace.py:1125
S20;Проекты и данные;Марки и составы;поле (текст, многострочное);Заметка (не обязательно);;;;нет;открыто;;;"форма из трёх полей; сворачивать нечего";app/thermogar_workspace.py:1129
S20;Проекты и данные;Марки и составы;галочка;Разрешить обновить одноимённую пользовательскую запись;;;;нет;открыто;;;форма из трёх полей;app/thermogar_workspace.py:1133
S20;Проекты и данные;Марки и составы;выбор;Выберите запись;alloy_selected_id;;;нет;открыто;;;выбор записи для второй кнопки;app/thermogar_workspace.py:1193
S21;Проекты и данные;Пакетный расчёт;загрузка файла;Файл составов;;;;да — кнопка расчёта появляется только после загрузки: thermogar_workspace.py:2765–2792;открыто;;;обязательное;app/thermogar_workspace.py:2740
S22;Проекты и данные;Проекты и история / Что открыть: Проекты / История расчётов;радио;Что открыть;projects_history_mode;;;нет;открыто;;;переключатель вида;app/thermogar_workspace.py:1718
S22;Проекты и данные;Проекты и история / Что открыть: Проекты / История расчётов;поле (текст);Название проекта;;;;да — thermogar_workspace.py:685–686;открыто;;;обязательное;app/thermogar_workspace.py:1727
S22;Проекты и данные;Проекты и история / Что открыть: Проекты / История расчётов;поле (текст, многострочное);Описание (не обязательно);;;;нет;открыто;;;форма из трёх полей;app/thermogar_workspace.py:1731
S22;Проекты и данные;Проекты и история / Что открыть: Проекты / История расчётов;галочка;Разрешить заменить одноимённый локальный проект;;;;нет;открыто;;;форма из трёх полей;app/thermogar_workspace.py:1735
S22;Проекты и данные;Проекты и история / Что открыть: Проекты / История расчётов;выбор;Выберите проект;project_selected_path;;;нет;открыто;;;выбор проекта;app/thermogar_workspace.py:1853
S22;Проекты и данные;Проекты и история / Что открыть: Проекты / История расчётов;мультивыбор;Показывать события;;;;нет;открыто;;;фильтр истории;app/thermogar_workspace.py:2060
S22;Проекты и данные;Проекты и история / Что открыть: Проекты / История расчётов;выбор;Запись для восстановления материала;history_restore_entry;;st.columns@thermogar_workspace.py:2082 (колонка 1 из 2);нет;открыто;;;выбор записи;app/thermogar_workspace.py:2092
