экран;вкладка;подвкладка;вид (переключатель);основная кнопка;кнопка файл:строка;№;вид элемента;подпись;key;умолчание ni;умолчание al;умолчание fe;мин;макс;шаг;условие показа;в раскрывающемся блоке;форма;в одной строке (st.columns);обязательное;через функцию;подсказка (help);прочее;файл:строка
S05;Диаграммы;Многокомпонентное T–X;;Построить многокомпонентное сечение;app/ThermoGar_app.py:8956;22;радио;Какие фазы учитывать;ni: isopleth_NI_Al_phase_mode_ni | al: isopleth_AL_Cu_phase_mode_al | fe: isopleth_FE_C_phase_mode_fe;Автоматически — все совместимые фазы;Автоматически — все совместимые фазы;Автоматически — все совместимые фазы;;;;;Управление фазами / метастабильный расчёт;;;нет;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:8929;;;app/ThermoGar_app.py:2931
S05;Диаграммы;Многокомпонентное T–X;;Построить многокомпонентное сечение;app/ThermoGar_app.py:8956;23;подпись;f'В расчёте будет учтено фаз: {len(candidate_phases)}. Это обычное равновесие для выбранной базы и состава.';;;;;;;;mode.startswith('Автоматически');Управление фазами / метастабильный расчёт;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:8929;;;app/ThermoGar_app.py:2942
S05;Диаграммы;Многокомпонентное T–X;;Построить многокомпонентное сечение;app/ThermoGar_app.py:8956;24;плашка (warning);Если отключить устойчивую фазу, получится метастабильное равновесие только среди оставленных фаз.;;;;;;;;не (mode.startswith('Автоматически'));Управление фазами / метастабильный расчёт;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:8929;;;app/ThermoGar_app.py:2948
S05;Диаграммы;Многокомпонентное T–X;;Построить многокомпонентное сечение;app/ThermoGar_app.py:8956;25;таблица-редактор;phase_table;f'{key_prefix}_phase_editor_{database_key}_{signature}';;;;;;;не (mode.startswith('Автоматически'));Управление фазами / метастабильный расчёт;;;да, ≥1 фаза — ThermoGar_app.py:3025–3026, отказ :9066–9068;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:8929;;disabled=['Фаза', 'Что это', 'Примечание модели'];app/ThermoGar_app.py:2975
S05;Диаграммы;Многокомпонентное T–X;;Построить многокомпонентное сечение;app/ThermoGar_app.py:8956;26;плашка (error);excluded_phase_message(rejected_selected);;;;;;;;не (mode.startswith('Автоматически')) И rejected_selected;Управление фазами / метастабильный расчёт;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:8929;;;app/ThermoGar_app.py:3018
S05;Диаграммы;Многокомпонентное T–X;;Построить многокомпонентное сечение;app/ThermoGar_app.py:8956;27;подпись;f'Выбрано фаз: {len(selected)} из {len(candidate_phases)}.';;;;;;;;не (mode.startswith('Автоматически'));Управление фазами / метастабильный расчёт;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:8929;;;app/ThermoGar_app.py:3021
S05;Диаграммы;Многокомпонентное T–X;;Построить многокомпонентное сечение;app/ThermoGar_app.py:8956;28;плашка (error);Нужно оставить хотя бы одну фазу.;;;;;;;;не (mode.startswith('Автоматически')) И not selected;Управление фазами / метастабильный расчёт;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:8929;;;app/ThermoGar_app.py:3026
S05;Диаграммы;Многокомпонентное T–X;;Построить многокомпонентное сечение;app/ThermoGar_app.py:8956;29;плашка (error, текст исключения);Список фаз появится после исправления состава.;;;;;;;;при исключении;;;;;;;;app/ThermoGar_app.py:8937
S05;Диаграммы;Многокомпонентное T–X;;Построить многокомпонентное сечение;app/ThermoGar_app.py:8956;30;плашка (info);На сечении выбрано больше семи фаз. Расчёт допустим, но для читаемого графика лучше оставить основные фазы.;;;;;;;;len(isopleth_selected_phases or []) > 7;;;;;;;;app/ThermoGar_app.py:8949
S05;Диаграммы;Многокомпонентное T–X;;Построить многокомпонентное сечение;app/ThermoGar_app.py:8956;31;кнопка;Построить многокомпонентное сечение;isopleth_calculate;;;;;;;;;;;;;;type='primary';app/ThermoGar_app.py:8954
S06;Диаграммы;Тройная при T = const;;Построить тройную диаграмму;app/ThermoGar_app.py:9407;1;заголовок;Диаграммы состояния;;;;;;;;;;;;;;;;app/ThermoGar_app.py:8387
S06;Диаграммы;Тройная при T = const;;Построить тройную диаграмму;app/ThermoGar_app.py:9407;2;подпись;Выберите диаграмму границ или карту количества выбранной фазы.;;;;;;;;;;;;;;;;app/ThermoGar_app.py:8388
S06;Диаграммы;Тройная при T = const;;Построить тройную диаграмму;app/ThermoGar_app.py:9407;3;подпись;#### Тройная изотермическая диаграмма;;;;;;;;;;;;;;;;app/ThermoGar_app.py:9264
S06;Диаграммы;Тройная при T = const;;Построить тройную диаграмму;app/ThermoGar_app.py:9407;4;подпись;Показывает фазовые области трёхкомпонентной системы при одной температуре. Состав задаётся в атомных процентах.;;;;;;;;;;;;;;;;app/ThermoGar_app.py:9265
S06;Диаграммы;Тройная при T = const;;Построить тройную диаграмму;app/ThermoGar_app.py:9407;5;выбор;Элемент A — нижняя правая вершина;ternary_x_{база};Al;Cu;Cr;;;;;;;;нет;;;;app/ThermoGar_app.py:9272
S06;Диаграммы;Тройная при T = const;;Построить тройную диаграмму;app/ThermoGar_app.py:9407;6;выбор;Элемент B — верхняя вершина;ni: ternary_y_ni_Al | al: ternary_y_al_Cu | fe: ternary_y_fe_Cr;Cr;Mg;Ni;;;;;;;;нет;;;;app/ThermoGar_app.py:9294
S06;Диаграммы;Тройная при T = const;;Построить тройную диаграмму;app/ThermoGar_app.py:9407;7;выбор;"Элемент C — нижняя левая вершина; остаток до 100 %";ni: ternary_dependent_ni_Al_Cr | al: ternary_dependent_al_Cu_Mg | fe: ternary_dependent_fe_Cr_Ni;Ni;Al;Fe;;;;;;;;нет;;;;app/ThermoGar_app.py:9312
S06;Диаграммы;Тройная при T = const;;Построить тройную диаграмму;app/ThermoGar_app.py:9407;8;поле (число);Температура, °C;ternary_temperature_{база};1000;500;800;;;10;;;;;нет;;;;app/ThermoGar_app.py:9323
S06;Диаграммы;Тройная при T = const;;Построить тройную диаграмму;app/ThermoGar_app.py:9407;9;поле (число);Шаг поиска границ, ат.% (0.5–10);ternary_step_{база};5;10;5;0.5;10;0.5;;;;;нет;;Меньший шаг точнее, но расчёт длится дольше. Для первого запуска используйте 2.5–5 ат.%.;;app/ThermoGar_app.py:9329
S06;Диаграммы;Тройная при T = const;;Построить тройную диаграмму;app/ThermoGar_app.py:9407;10;галочка;Показывать линии связи в двухфазных областях;ternary_tielines_{база};True;True;True;;;;;;;;нет;;;;app/ThermoGar_app.py:9341
S06;Диаграммы;Тройная при T = const;;Построить тройную диаграмму;app/ThermoGar_app.py:9407;11;поле (число);Показывать каждую N-ю линию связи (1–50);ternary_tieline_every_{база};5;5;5;1;50;1;;;;;нет;;;disabled=not ternary_show_tielines;app/ThermoGar_app.py:9346
S06;Диаграммы;Тройная при T = const;;Построить тройную диаграмму;app/ThermoGar_app.py:9407;12;галочка;Показывать точки трёхфазного равновесия;ternary_nodes_{база};False;False;False;;;;;;;;нет;;;;app/ThermoGar_app.py:9355
S06;Диаграммы;Тройная при T = const;;Построить тройную диаграмму;app/ThermoGar_app.py:9407;13;плашка (info);Как читать вершины: в нижней левой вершине 100 % элемента C, в нижней правой — 100 % элемента A, в верхней — 100 % элемента B. Внутри треугольника сумма трёх долей равна 100 %.;;;;;;;;;;;;;;;;app/ThermoGar_app.py:9361
S06;Диаграммы;Тройная при T = const;;Построить тройную диаграмму;app/ThermoGar_app.py:9407;14;плашка (error);excluded_phase_message(rejected_candidates);;;;;;;;rejected_candidates;;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:9380;;;app/ThermoGar_app.py:2865
S06;Диаграммы;Тройная при T = const;;Построить тройную диаграмму;app/ThermoGar_app.py:9407;15;плашка (info);unbuildable_note;;;;;;;;unbuildable_note;;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:9380;;;app/ThermoGar_app.py:2868
S06;Диаграммы;Тройная при T = const;;Построить тройную диаграмму;app/ThermoGar_app.py:9407;16;раскрывающийся блок;Управление фазами / метастабильный расчёт (expanded=False);;;;;;;;;;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:9380;;;app/ThermoGar_app.py:2873
S06;Диаграммы;Тройная при T = const;;Построить тройную диаграмму;app/ThermoGar_app.py:9407;17;радио;Набор фаз;ternary_diagram_phase_set_{база};быстрый набор (fast);быстрый набор (fast);быстрый набор (fast);;;;len(fast_phases) < len(all_phases);Управление фазами / метастабильный расчёт;;;нет;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:9380;;;app/ThermoGar_app.py:2895
S06;Диаграммы;Тройная при T = const;;Построить тройную диаграмму;app/ThermoGar_app.py:9407;18;подпись;"Быстрый набор — обычные для практики фазы; если сомневаетесь, проверьте результат в режиме ""все фазы"".";;;;;;;;len(fast_phases) < len(all_phases);Управление фазами / метастабильный расчёт;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:9380;;;app/ThermoGar_app.py:2906
S06;Диаграммы;Тройная при T = const;;Построить тройную диаграмму;app/ThermoGar_app.py:9407;19;плашка (warning);dropped_phases_warning(dropped);;;;;;;;len(fast_phases) < len(all_phases) И phase_mode == PHASE_MODE_FAST И dropped;Управление фазами / метастабильный расчёт;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:9380;;;app/ThermoGar_app.py:2916
S06;Диаграммы;Тройная при T = const;;Построить тройную диаграмму;app/ThermoGar_app.py:9407;20;раскрывающийся блок;dropped_phases_expander_label(len(dropped));;;;;;;;len(fast_phases) < len(all_phases) И phase_mode == PHASE_MODE_FAST И dropped И len(dropped) > DROPPED_PHASES_SHOWN;Управление фазами / метастабильный расчёт;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:9380;;;app/ThermoGar_app.py:2918
S06;Диаграммы;Тройная при T = const;;Построить тройную диаграмму;app/ThermoGar_app.py:9407;21;подпись;dropped_phases_full_list(dropped);;;;;;;;len(fast_phases) < len(all_phases) И phase_mode == PHASE_MODE_FAST И dropped И len(dropped) > DROPPED_PHASES_SHOWN;Управление фазами / метастабильный расчёт › dropped_phases_expander_label(len(dropped));;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:9380;;;app/ThermoGar_app.py:2921
S06;Диаграммы;Тройная при T = const;;Построить тройную диаграмму;app/ThermoGar_app.py:9407;22;радио;Какие фазы учитывать;ternary_diagram_phase_mode_{база};Автоматически — все совместимые фазы;Автоматически — все совместимые фазы;Автоматически — все совместимые фазы;;;;;Управление фазами / метастабильный расчёт;;;нет;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:9380;;;app/ThermoGar_app.py:2931
S06;Диаграммы;Тройная при T = const;;Построить тройную диаграмму;app/ThermoGar_app.py:9407;23;подпись;f'В расчёте будет учтено фаз: {len(candidate_phases)}. Это обычное равновесие для выбранной базы и состава.';;;;;;;;mode.startswith('Автоматически');Управление фазами / метастабильный расчёт;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:9380;;;app/ThermoGar_app.py:2942
S06;Диаграммы;Тройная при T = const;;Построить тройную диаграмму;app/ThermoGar_app.py:9407;24;плашка (warning);Если отключить устойчивую фазу, получится метастабильное равновесие только среди оставленных фаз.;;;;;;;;не (mode.startswith('Автоматически'));Управление фазами / метастабильный расчёт;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:9380;;;app/ThermoGar_app.py:2948
S06;Диаграммы;Тройная при T = const;;Построить тройную диаграмму;app/ThermoGar_app.py:9407;25;таблица-редактор;phase_table;f'{key_prefix}_phase_editor_{database_key}_{signature}';;;;;;;не (mode.startswith('Автоматически'));Управление фазами / метастабильный расчёт;;;да, ≥1 фаза — ThermoGar_app.py:3025–3026, отказ :9435–9437;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:9380;;disabled=['Фаза', 'Что это', 'Примечание модели'];app/ThermoGar_app.py:2975
S06;Диаграммы;Тройная при T = const;;Построить тройную диаграмму;app/ThermoGar_app.py:9407;26;плашка (error);excluded_phase_message(rejected_selected);;;;;;;;не (mode.startswith('Автоматически')) И rejected_selected;Управление фазами / метастабильный расчёт;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:9380;;;app/ThermoGar_app.py:3018
S06;Диаграммы;Тройная при T = const;;Построить тройную диаграмму;app/ThermoGar_app.py:9407;27;подпись;f'Выбрано фаз: {len(selected)} из {len(candidate_phases)}.';;;;;;;;не (mode.startswith('Автоматически'));Управление фазами / метастабильный расчёт;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:9380;;;app/ThermoGar_app.py:3021
S06;Диаграммы;Тройная при T = const;;Построить тройную диаграмму;app/ThermoGar_app.py:9407;28;плашка (error);Нужно оставить хотя бы одну фазу.;;;;;;;;не (mode.startswith('Автоматически')) И not selected;Управление фазами / метастабильный расчёт;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:9380;;;app/ThermoGar_app.py:3026
S06;Диаграммы;Тройная при T = const;;Построить тройную диаграмму;app/ThermoGar_app.py:9407;29;плашка (error, текст исключения);Список фаз появится после исправления параметров системы.;;;;;;;;при исключении;;;;;;;;app/ThermoGar_app.py:9388
S06;Диаграммы;Тройная при T = const;;Построить тройную диаграмму;app/ThermoGar_app.py:9407;30;плашка (info);Выбрано больше десяти фаз. Расчёт допустим, но может занять заметно больше времени. Для первого теста можно оставить основные фазы.;;;;;;;;len(ternary_selected_phases or []) > 10;;;;;;;;app/ThermoGar_app.py:9399
S06;Диаграммы;Тройная при T = const;;Построить тройную диаграмму;app/ThermoGar_app.py:9407;31;кнопка;Построить тройную диаграмму;ternary_calculate;;;;;;;;;;;;;;type='primary';app/ThermoGar_app.py:9405
S07;Диаграммы;Карта доли фазы;;Построить карту доли фазы;app/ThermoGar_app.py:9840;1;заголовок;Диаграммы состояния;;;;;;;;;;;;;;;;app/ThermoGar_app.py:8387
S07;Диаграммы;Карта доли фазы;;Построить карту доли фазы;app/ThermoGar_app.py:9840;2;подпись;Выберите диаграмму границ или карту количества выбранной фазы.;;;;;;;;;;;;;;;;app/ThermoGar_app.py:8388
S07;Диаграммы;Карта доли фазы;;Построить карту доли фазы;app/ThermoGar_app.py:9840;3;подпись;#### Карта количества выбранной фазы;;;;;;;;;;;;;;;;app/ThermoGar_app.py:9637
S07;Диаграммы;Карта доли фазы;;Построить карту доли фазы;app/ThermoGar_app.py:9840;4;подпись;Цвет показывает равновесную мольную долю одной фазы во всём треугольнике состава при фиксированной температуре.;;;;;;;;;;;;;;;;app/ThermoGar_app.py:9638
S07;Диаграммы;Карта доли фазы;;Построить карту доли фазы;app/ThermoGar_app.py:9840;5;выбор;Элемент A — нижняя правая вершина;ternary_map_x_{база};Al;Cu;C;;;;;;;;нет;;;;app/ThermoGar_app.py:9645
S07;Диаграммы;Карта доли фазы;;Построить карту доли фазы;app/ThermoGar_app.py:9840;6;выбор;Элемент B — верхняя вершина;ni: ternary_map_y_ni_Al | al: ternary_map_y_al_Cu | fe: ternary_map_y_fe_C;Cr;Mg;Cr;;;;;;;;нет;;;;app/ThermoGar_app.py:9667
S07;Диаграммы;Карта доли фазы;;Построить карту доли фазы;app/ThermoGar_app.py:9840;7;выбор;Элемент C — нижняя левая вершина и остаток до 100 %;ni: ternary_map_dependent_ni_Al_Cr | al: ternary_map_dependent_al_Cu_Mg | fe: ternary_map_dependent_fe_C_Cr;Ni;Al;Fe;;;;;;;;нет;;;;app/ThermoGar_app.py:9685
S07;Диаграммы;Карта доли фазы;;Построить карту доли фазы;app/ThermoGar_app.py:9840;8;радио;Единицы состава на треугольнике;ternary_map_units_{база};атомные %;атомные %;массовые %;;;;;;;;нет;;;;app/ThermoGar_app.py:9696
S07;Диаграммы;Карта доли фазы;;Построить карту доли фазы;app/ThermoGar_app.py:9840;9;поле (число);Температура, °C;ternary_map_temperature_{база};1000;500;800;;;10;;;;;нет;;;;app/ThermoGar_app.py:9705
S07;Диаграммы;Карта доли фазы;;Построить карту доли фазы;app/ThermoGar_app.py:9840;10;поле (число);Желаемый шаг сетки, % (2–20);ternary_map_step_{база};20;20;20;2;20;0.5;;;;;нет;;Число узлов растёт как (100/шаг + 1)(100/шаг + 2)/2: 20 % — 21 узел, 10 % — 66, 5 % — 231, 2 % — 1326. Начните с шага по умолчанию и уменьшайте его только для интересующей области.;;app/ThermoGar_app.py:9712
S07;Диаграммы;Карта доли фазы;;Построить карту доли фазы;app/ThermoGar_app.py:9840;11;поле (число);Провести границу появления фазы при доле, мол.% (0–100);ternary_map_threshold_{база};0.1;0.1;0.1;0;100;0.1;;;;;нет;;;;app/ThermoGar_app.py:9727
S07;Диаграммы;Карта доли фазы;;Построить карту доли фазы;app/ThermoGar_app.py:9840;12;радио;Шкала цвета;ternary_map_color_scale_{база};Фиксированная 0–100 %;Фиксированная 0–100 %;Фиксированная 0–100 %;;;;;;;;нет;;;;app/ThermoGar_app.py:9736
S07;Диаграммы;Карта доли фазы;;Построить карту доли фазы;app/ThermoGar_app.py:9840;13;плашка (info);"f'Будет рассчитано узлов: {map_point_count}. Фактический равномерный шаг: {actual_step:.3g} %. Один узел — это отдельное равновесие: от нескольких секунд на никелевой базе до полутора десятков секунд на алюминиевой. Карта интерполируется между рассчитанными узлами; неопределённость положения границы — примерно половина шага.'";;;;;;;;;;;;;;;;app/ThermoGar_app.py:9749
S07;Диаграммы;Карта доли фазы;;Построить карту доли фазы;app/ThermoGar_app.py:9840;14;подпись;Полный треугольник включает высокие концентрации, которые могут выходить за заявленную область выбранной базы. Используйте карту для поиска тенденций, а ответственные точки проверяйте отдельным расчётом и литературой.;;;;;;;;;;;;;;;;app/ThermoGar_app.py:9758
S07;Диаграммы;Карта доли фазы;;Построить карту доли фазы;app/ThermoGar_app.py:9840;15;плашка (error);excluded_phase_message(rejected_candidates);;;;;;;;rejected_candidates;;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:9778;;;app/ThermoGar_app.py:2865
S07;Диаграммы;Карта доли фазы;;Построить карту доли фазы;app/ThermoGar_app.py:9840;16;плашка (info);unbuildable_note;;;;;;;;unbuildable_note;;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:9778;;;app/ThermoGar_app.py:2868
S07;Диаграммы;Карта доли фазы;;Построить карту доли фазы;app/ThermoGar_app.py:9840;17;раскрывающийся блок;Управление фазами / метастабильный расчёт (expanded=False);;;;;;;;;;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:9778;;;app/ThermoGar_app.py:2873
S07;Диаграммы;Карта доли фазы;;Построить карту доли фазы;app/ThermoGar_app.py:9840;18;радио;Набор фаз;ternary_phase_map_phase_set_{база};быстрый набор (fast);быстрый набор (fast);быстрый набор (fast);;;;len(fast_phases) < len(all_phases);Управление фазами / метастабильный расчёт;;;нет;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:9778;;;app/ThermoGar_app.py:2895
S07;Диаграммы;Карта доли фазы;;Построить карту доли фазы;app/ThermoGar_app.py:9840;19;подпись;"Быстрый набор — обычные для практики фазы; если сомневаетесь, проверьте результат в режиме ""все фазы"".";;;;;;;;len(fast_phases) < len(all_phases);Управление фазами / метастабильный расчёт;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:9778;;;app/ThermoGar_app.py:2906
S07;Диаграммы;Карта доли фазы;;Построить карту доли фазы;app/ThermoGar_app.py:9840;20;плашка (warning);dropped_phases_warning(dropped);;;;;;;;len(fast_phases) < len(all_phases) И phase_mode == PHASE_MODE_FAST И dropped;Управление фазами / метастабильный расчёт;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:9778;;;app/ThermoGar_app.py:2916
S07;Диаграммы;Карта доли фазы;;Построить карту доли фазы;app/ThermoGar_app.py:9840;21;раскрывающийся блок;dropped_phases_expander_label(len(dropped));;;;;;;;len(fast_phases) < len(all_phases) И phase_mode == PHASE_MODE_FAST И dropped И len(dropped) > DROPPED_PHASES_SHOWN;Управление фазами / метастабильный расчёт;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:9778;;;app/ThermoGar_app.py:2918
S07;Диаграммы;Карта доли фазы;;Построить карту доли фазы;app/ThermoGar_app.py:9840;22;подпись;dropped_phases_full_list(dropped);;;;;;;;len(fast_phases) < len(all_phases) И phase_mode == PHASE_MODE_FAST И dropped И len(dropped) > DROPPED_PHASES_SHOWN;Управление фазами / метастабильный расчёт › dropped_phases_expander_label(len(dropped));;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:9778;;;app/ThermoGar_app.py:2921
S07;Диаграммы;Карта доли фазы;;Построить карту доли фазы;app/ThermoGar_app.py:9840;23;радио;Какие фазы учитывать;ternary_phase_map_phase_mode_{база};Автоматически — все совместимые фазы;Автоматически — все совместимые фазы;Автоматически — все совместимые фазы;;;;;Управление фазами / метастабильный расчёт;;;нет;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:9778;;;app/ThermoGar_app.py:2931
S07;Диаграммы;Карта доли фазы;;Построить карту доли фазы;app/ThermoGar_app.py:9840;24;подпись;f'В расчёте будет учтено фаз: {len(candidate_phases)}. Это обычное равновесие для выбранной базы и состава.';;;;;;;;mode.startswith('Автоматически');Управление фазами / метастабильный расчёт;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:9778;;;app/ThermoGar_app.py:2942
S07;Диаграммы;Карта доли фазы;;Построить карту доли фазы;app/ThermoGar_app.py:9840;25;плашка (warning);Если отключить устойчивую фазу, получится метастабильное равновесие только среди оставленных фаз.;;;;;;;;не (mode.startswith('Автоматически'));Управление фазами / метастабильный расчёт;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:9778;;;app/ThermoGar_app.py:2948
S07;Диаграммы;Карта доли фазы;;Построить карту доли фазы;app/ThermoGar_app.py:9840;26;таблица-редактор;phase_table;f'{key_prefix}_phase_editor_{database_key}_{signature}';;;;;;;не (mode.startswith('Автоматически'));Управление фазами / метастабильный расчёт;;;да, ≥1 фаза — ThermoGar_app.py:3025–3026, отказ :9871–9872;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:9778;;disabled=['Фаза', 'Что это', 'Примечание модели'];app/ThermoGar_app.py:2975
S07;Диаграммы;Карта доли фазы;;Построить карту доли фазы;app/ThermoGar_app.py:9840;27;плашка (error);excluded_phase_message(rejected_selected);;;;;;;;не (mode.startswith('Автоматически')) И rejected_selected;Управление фазами / метастабильный расчёт;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:9778;;;app/ThermoGar_app.py:3018
S07;Диаграммы;Карта доли фазы;;Построить карту доли фазы;app/ThermoGar_app.py:9840;28;подпись;f'Выбрано фаз: {len(selected)} из {len(candidate_phases)}.';;;;;;;;не (mode.startswith('Автоматически'));Управление фазами / метастабильный расчёт;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:9778;;;app/ThermoGar_app.py:3021
S07;Диаграммы;Карта доли фазы;;Построить карту доли фазы;app/ThermoGar_app.py:9840;29;плашка (error);Нужно оставить хотя бы одну фазу.;;;;;;;;не (mode.startswith('Автоматически')) И not selected;Управление фазами / метастабильный расчёт;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:9778;;;app/ThermoGar_app.py:3026
S07;Диаграммы;Карта доли фазы;;Построить карту доли фазы;app/ThermoGar_app.py:9840;30;плашка (error, текст исключения);Список фаз появится после исправления параметров системы.;;;;;;;;при исключении;;;;;;;;app/ThermoGar_app.py:9786
S07;Диаграммы;Карта доли фазы;;Построить карту доли фазы;app/ThermoGar_app.py:9840;31;выбор;Какую фазу показать цветом;ternary_map_target_{база};GAMMA_PRIME (TERNARY_PHASE_MAP_DEFAULTS.phase);THETA_AL2CU;CEMENTITE;;;;map_target_options;;;;да — ThermoGar_app.py:9826–9828 (st.error до нажатия), :9844–9845;;;;app/ThermoGar_app.py:9810
S07;Диаграммы;Карта доли фазы;;Построить карту доли фазы;app/ThermoGar_app.py:9840;32;плашка (error);Для карты нужно оставить хотя бы одну фазу и выбрать её.;;;;;;;;не (map_target_options);;;;;;;;app/ThermoGar_app.py:9826
S07;Диаграммы;Карта доли фазы;;Построить карту доли фазы;app/ThermoGar_app.py:9840;33;плашка (info);В расчёте оставлено больше 15 фаз. На подробной сетке это может занять много времени. Для обзорной карты сначала оставьте матрицу, выбранную фазу, жидкость и основные конкурирующие фазы.;;;;;;;;len(map_selected_phases or []) > 15;;;;;;;;app/ThermoGar_app.py:9831
S07;Диаграммы;Карта доли фазы;;Построить карту доли фазы;app/ThermoGar_app.py:9840;34;кнопка;Построить карту доли фазы;ternary_map_calculate;;;;;;;;;;;;;;type='primary';app/ThermoGar_app.py:9838
S08;Затвердевание;—;;Рассчитать затвердевание;app/ThermoGar_app.py:10402;1;заголовок;Затвердевание;;;;;;;;;;;;;;;;app/ThermoGar_app.py:10201
S08;Затвердевание;—;;Рассчитать затвердевание;app/ThermoGar_app.py:10402;2;подпись;Сравните равновесное затвердевание с приближением Scheil–Gulliver, определите ликвидус, солидус, последовательность появления фаз и изменение состава остаточного расплава.;;;;;;;;;;;;;;;;app/ThermoGar_app.py:10202
S08;Затвердевание;—;;Рассчитать затвердевание;app/ThermoGar_app.py:10402;3;плашка (error);Модуль Scheil–Gulliver недоступен. Остальные функции работают.;;;;;;;;not scheil_available();;;;;;;;app/ThermoGar_app.py:10209
S08;Затвердевание;—;;Рассчитать затвердевание;app/ThermoGar_app.py:10402;4;раскрывающийся блок;Технические сведения (expanded=False);;;;;;;;not scheil_available();;;;;;;;app/ThermoGar_app.py:10212
S08;Затвердевание;—;;Рассчитать затвердевание;app/ThermoGar_app.py:10402;5;подпись;Установите пакет один раз и перезапустите ThermoGar:;;;;;;;;not scheil_available();Технические сведения;;;;;;;app/ThermoGar_app.py:10213
S08;Затвердевание;—;;Рассчитать затвердевание;app/ThermoGar_app.py:10402;6;подпись (код);"python -m pip install ""scheil==0.3.0""";;;;;;;;not scheil_available();Технические сведения;;;;;;;app/ThermoGar_app.py:10214
S08;Затвердевание;—;;Рассчитать затвердевание;app/ThermoGar_app.py:10402;7;подпись;Причина импорта:;;;;;;;;not scheil_available() И _SCHEIL_STATE['error'];Технические сведения;;;;;;;app/ThermoGar_app.py:10219
S08;Затвердевание;—;;Рассчитать затвердевание;app/ThermoGar_app.py:10402;8;плашка (info);Модуль Scheil–Gulliver доступен.;;;;;;;;не (not scheil_available());;;;;;;;app/ThermoGar_app.py:10221
S08;Затвердевание;—;;Рассчитать затвердевание;app/ThermoGar_app.py:10402;9;плашка (info);Оба метода этого модуля рассчитываются при 101 325 Па. Scheil–Gulliver предполагает полное перемешивание расплава, локальное равновесие на границе и отсутствие диффузии в твёрдом.;;;;;;;;не (not scheil_available());;;;;;;;app/ThermoGar_app.py:10224
S08;Затвердевание;—;;Рассчитать затвердевание;app/ThermoGar_app.py:10402;10;плашка (error);Заданное в боковой панели давление здесь не применяется: модуль затвердевания использует 101 325 Па.;;;;;;;;не (not scheil_available()) И not np.isclose(float(pressure_pa), 101325.0);;;;;;;;app/ThermoGar_app.py:10230
