№,группа t1_6b,вид места,файл:строка,вывод на экран сейчас,перехват в коде,откуда текст (класс исключения и где возбуждается),своё русское / чужое / смешанное,что останется на экране после внедрения,код ошибки рядом сейчас,«Технические сведения» рядом сейчас,примечание
57,20,вызов сообщения (66 из t1_6),app/thermogar_workspace.py:1214,st.error f-строка «Состав не загружен: {error}»,"except Exception as error (:1213), try :1197–1212","rebind_context: validate_context_payload (русский текст), VerifiedLoaderError (thermogar_verified_loaders.py:199; текст «{код}: {английская деталь}», :209) из bind_selected_database (ThermoGar_app.py:1124–1145); record_history (SecureIOError)",смешанное,"«Состав не загружен.» + своё русское сообщение, если оно есть + «Код ошибки: …» + «Технические сведения»",нет,нет,
58,20,вызов сообщения (66 из t1_6),app/thermogar_workspace.py:1318,st.error f-строка «Библиотеку импортировать не удалось: {error}»,"except Exception as error (:1317), try :1305–1316","state_store.canonical_value: VerifiedLoaderError (thermogar_verified_loaders.py:199; текст «{код}: {английская деталь}», :209) и _StateFailure (thermogar_verified_state.py:132, английский текст); merge_user_alloys (русский текст)",смешанное,"«Библиотеку импортировать не удалось.» + своё русское сообщение, если оно есть + «Код ошибки: …» + «Технические сведения»",нет,нет,
59,20,вызов сообщения (66 из t1_6),app/thermogar_workspace.py:1692,st.error(str(error)),"except Exception as error (:1691), try :1664–1690","build_project_payload, save_project_local: ValueError/RuntimeError с русским текстом; SecureIOError с английским текстом",смешанное,"«Проект не сохранён.» + своё русское сообщение, если оно есть + «Код ошибки: …» + «Технические сведения»",нет,нет,
60,20,вызов сообщения (66 из t1_6),app/thermogar_workspace.py:1696,st.error «Некоторые локальные проекты отклонены без применения: » + « | ».join(project_errors),"не в обработчике: scan_projects (:1598–1599) собирает f""{path.name}: {type(error).__name__}: {error}""",ValueError с русским текстом validate_project_payload; SecureIOError; json.JSONDecodeError Python,смешанное,"«Некоторые файлы проектов не прочитаны: {имена файлов}.» + своё русское сообщение, если оно есть + «Код ошибки: …» + «Технические сведения»",нет,нет,на экране имя класса исключения
61,20,вызов сообщения (66 из t1_6),app/thermogar_workspace.py:1768,st.error f-строка «Проект не открыт: {error}»,"except Exception as error (:1767), try :1748–1766",как :1214,смешанное,"«Проект не открыт.» + своё русское сообщение, если оно есть + «Код ошибки: …» + «Технические сведения»",нет,нет,
62,20,вызов сообщения (66 из t1_6),app/thermogar_workspace.py:1838,st.error f-строка «Проект не удалён: {error}»,"except Exception as error (:1837), try :1822–1836",secure_move_no_overwrite: SecureIOError (thermogar_secure_io.py:26; все 62 текста — английские); OSError Python,чужое,«Проект не удалён.» + «Код ошибки: …» + «Технические сведения»,нет,нет,английский служебный текст ThermoGar и текст Python
63,20,вызов сообщения (66 из t1_6),app/thermogar_workspace.py:1896,st.error f-строка «Проект импортировать не удалось: {error}»,"except Exception as error (:1895), try :1876–1894",validate_project_payload (русский текст); state_store.canonical_value и restore_context (английский текст); save_project_local,смешанное,"«Проект импортировать не удалось.» + своё русское сообщение, если оно есть + «Код ошибки: …» + «Технические сведения»",нет,нет,
64,20,вызов сообщения (66 из t1_6),app/thermogar_workspace.py:1971,st.error f-строка «Запись истории не восстановлена: {error}»,"except Exception as error (:1970), try :1962–1969",как :1214,смешанное,"«Запись истории не восстановлена.» + своё русское сообщение, если оно есть + «Код ошибки: …» + «Технические сведения»",нет,нет,
65,20,вызов сообщения (66 из t1_6),app/thermogar_workspace.py:2040,st.error f-строка «История не очищена: {error}»,"except Exception as error (:2039), try :2024–2038",secure_archive_and_clear: SecureIOError (английский текст); OSError Python,чужое,«История не очищена.» + «Код ошибки: …» + «Технические сведения»,нет,нет,английский служебный текст ThermoGar и текст Python
66,20,вызов сообщения (66 из t1_6),app/thermogar_workspace.py:2587,st.error f-строка «Файл прочитать или рассчитать не удалось: {error}»,"except Exception as error (:2586), try :2549–2585","batch_table_dataframe: ValueError с русским текстом, исключения pandas и openpyxl; state_store.canonical_value (английский текст)",смешанное,"«Файл прочитать или рассчитать не удалось.» + своё русское сообщение, если оно есть + «Код ошибки: …» + «Технические сведения»",нет,нет,
67,21,вызов сообщения (дополнительно: в t1_6 отнесён к жаргону),app/thermogar_workspace.py:1684,"flash warning «Проект сохранён, но запись в историю не добавлена: {history_warning}»",не в обработчике: record_history_nonfatal (:1398–1399),как :1146,смешанное,"«Проект сохранён, но запись в историю не добавлена.» + «Код ошибки: …» + «Технические сведения»",нет,нет,на экране имя класса исключения; в 21-А эта строка стоит среди 24 сообщений с жаргоном
68,2,путь без вызова сообщения (группа t1_6b),app/thermogar_stage14.py:410,st.write «Тип: {exception_type}» внутри «Технических сведений»,render_user_error,type(error).__name__ (:329),чужое,без изменений: уже в свёрнутом блоке,да,да (внутри блока),"там же «Раздел: {context}» — у части контекстов английские слова («проверка physical PDB», :1961)"
69,3,путь без вызова сообщения (группа t1_6b),app/thermogar_stage14.py:97–102,EMPTY_SOLUTION_TEXT в заголовке render_user_error,_friendly_error_text (:277–284),"свой русский текст, утверждён владельцем (15-Н2); из исключения берётся только температура",своё русское,без изменений,да,да,
70,10,путь без вызова сообщения (группа t1_6b),app/ThermoGar_app.py:10253,status.write «{метод}: расчёт не завершён — {method_error}»,except Exception as method_error (:10251),исключения пакета scheil и pycalphad; свои с русским текстом,смешанное,«{метод}: расчёт не завершён.»; текст — в технический отчёт,нет,нет,лента хода расчёта
71,10,путь без вызова сообщения (группа t1_6b),app/ThermoGar_app.py:10316,status.write «Ликвидус не найден: {liquidus_error}»,except Exception as liquidus_error (:10313),как :10253,смешанное,«Ликвидус не найден.»; текст — в технический отчёт,нет,нет,лента хода расчёта
72,12,путь без вызова сообщения (группа t1_6b),app/ThermoGar_app.py:6571,"таблица карты доли фазы, столбец «Статус»: «не рассчитано: {error}»",except Exception as error (:6564),исключения pycalphad и numpy в узле сетки; свои с русским текстом,смешанное,"«не рассчитано»; тексты узлов — в технический отчёт, один код ошибки под таблицей",нет,нет,таблица на экране и в выгрузке
73,13,путь без вызова сообщения (группа t1_6b),app/ThermoGar_app.py:9950,st.caption «Причина импорта: {_SCHEIL_STATE['error']}»,except Exception as scheil_import_error (:114),str(ImportError/ModuleNotFoundError) Python или исключение пакета scheil (:115–121),чужое,в «Технических сведениях» (раздел Б1),нет,нет,
74,14,путь без вызова сообщения (группа t1_6b),app/thermogar_diffusion.py:1391,st.caption «Техническая причина: {KAWIN_IMPORT_ERROR}»,except Exception as import_error (:55); KAWIN_IMPORT_ERROR = str(import_error) (:70),str(ImportError) Python или исключение kawin,чужое,в «Технических сведениях» (раздел Б2),нет,нет,
75,15,путь без вызова сообщения (группа t1_6b),app/thermogar_precipitation.py:1310,"st.code(PRECIPITATION_IMPORT_ERROR or ""kawin не установлен"")",except Exception as import_error (:52),str(ImportError) Python или исключение kawin; запасной текст — свой русский,чужое,в «Технических сведениях» (раздел Б3),нет,нет,
76,17,путь без вызова сообщения (группа t1_6b),app/thermogar_precipitation.py:1618,st.warning(result.stop_note),не исключение: stop_note собирают _composition_stop_note и _solver_failure_note (:227–245),"свой русский текст; текст исключения в него не вставляется (аргументы — время, состав, элементы)",своё русское,"без изменений по этому решению; правка слов — раздел А, 19а–19б",нет,нет,уточнение к 21-А: строки решателя здесь нет
77,19,путь без вызова сообщения (группа t1_6b),app/thermogar_stage14.py:971,"таблица баз в «Проверке установки», столбец «Статус»: «ошибка: {type(error).__name__}: {error}»",except Exception as error (:970),"_cached_database: ошибки разбора TDB pycalphad, OSError, SecureIOError",чужое,"«ошибка чтения»; класс и текст — в технический отчёт, один код ошибки под таблицей",нет,нет,на экране имя класса исключения
78,22,путь без вызова сообщения (группа t1_6b),app/thermogar_workspace.py:2331,"таблица пакетного расчёта, столбец «Ошибка»: str(error)",except Exception as error (:2330),"свои ValueError с русским текстом (разбор строки); VerifiedLoaderError (thermogar_verified_loaders.py:199; текст «{код}: {английская деталь}», :209); исключения pycalphad",смешанное,своё русское сообщение как есть; для чужого — «расчёт строки не выполнен»; текст — в технический отчёт,нет,нет,показ :2600–2605 и выгрузка
79,22,путь без вызова сообщения (группа t1_6b),app/thermogar_workspace.py:2428,"таблица пакетного расчёта, столбец «Ошибка»: str(error)",except Exception as error (:2427),как :2331,смешанное,как :2331,нет,нет,показ :2600–2605 и выгрузка
80,23,путь без вызова сообщения (группа t1_6b),app/thermogar_release_ui.py:51–53,help недоступной кнопки «{reason_code}: {reason_detail}»,не исключение: RejectedFeatureReceipt от prepare_feature_request,"12 кодов, английские детали (TEKSTY_21_V.md, раздел В)",чужое,русская фраза по коду (раздел В),нет,нет,14 кнопок
81,23,путь без вызова сообщения (группа t1_6b),app/thermogar_release_ui.py:125,help недоступной кнопки загрузки «{reason_code}: {reason_detail}»,как :51,как :51,чужое,русская фраза по коду (раздел В),нет,нет,3 кнопки загрузки
82,24,путь без вызова сообщения (группа t1_6b),app/thermogar_release_ui.py:90,help «StateStore owns the verified upload boundary.»,литерал,"английская строка ThermoGar, не исключение",чужое,функция из приложения не вызывается; при вызове — «Загрузка файла здесь недоступна.»,нет,нет,недостижимо
